,route,neighbourhood,sublocality,administrative_area,lat,long
3361,Washington Place,,Manhattan,New York County,40.7318882,-73.9999891
3362,5th Avenue,,Manhattan,New York County,40.7888952,-73.9545865
3363,Brighton 7th Street,Brighton Beach,Brighton Beach,Kings County,40.5790606,-73.9612505
3364,West 81st Street,,Manhattan,New York County,40.7835147,-73.9748183
3365,5th Avenue,,Manhattan,New York County,40.7668419,-73.9707457
3366,5th Avenue,,Manhattan,New York County,40.7699404,-73.9686033
3367,73rd Street,Flushing,Flushing,Queens County,40.7542784,-73.8933876
3368,Independence Avenue,Bath Beach,Bath Beach,Kings County,40.603279,-74.014377
3369,1st Avenue,,Manhattan,New York County,40.7614804,-73.9610613
3370,Cruger Avenue,Van Nest,Van Nest,Bronx County,40.8501271,-73.8669885
3371,East 40th Street,,Manhattan,New York County,40.7479844,-73.9728389
3372,53rd Place,Woodside,Woodside,Queens County,40.7543613,-73.9077947
3373,Decatur Avenue,West Bronx,West Bronx,Bronx County,40.8677282,-73.8849595
3374,77th Avenue,Flushing,Flushing,Queens County,40.7236308,-73.8094885
3375,95th Street,Jamaica,Jamaica,Queens County,40.6899622,-73.8484421
3376,63rd Drive,Rego Park,Rego Park,Queens County,40.7312899,-73.85773
3377,East 73rd Street,,Manhattan,New York County,40.7697297,-73.9590126
3378,Nasby Place,Far Rockaway,Far Rockaway,Queens County,40.6019328,-73.7587155
3379,East 35th Street,Little Haiti,Little Haiti,Kings County,40.6520971,-73.9451094
3380,Riverside Drive West,,Manhattan,New York County,40.8370331,-73.9477948
3381,West 65th Street,,Manhattan,New York County,40.7719831,-73.9802428
3382,Lexington Avenue,Bedford-Stuyvesant,Bedford-Stuyvesant,Kings County,40.6870728,-73.9584649
3383,East 84th Street,,Manhattan,New York County,40.77475,-73.9488864
3384,Wexford Terrace,Jamaica,Jamaica,Queens County,40.7122499,-73.78851
3385,East 81st Street,,Manhattan,New York County,40.7740666,-73.9522989
3386,Matthews Avenue,East Bronx,East Bronx,Bronx County,40.8531021,-73.8636237
3387,145th Road,Jamaica,Jamaica,Queens County,40.6619508,-73.7548417
3388,Brighton 8th Street,Brighton Beach,Brighton Beach,Kings County,40.5792869,-73.9603435
3389,Broad Street,,Manhattan,New York County,40.7067114,-74.010457
3390,Cozine Avenue,East New York,East New York,Kings County,40.654871,-73.8847697
3391,5th Avenue,,Manhattan,New York County,40.7695956,-73.9688773
3392,Wyona Street,East New York,East New York,Kings County,40.6656785,-73.8916486
3393,Greenwich Street,,Manhattan,New York County,40.7373507,-74.0063169
3394,West 127th Street,,Manhattan,New York County,40.8121684,-73.9523535
3395,Centreville Street,Jamaica,Jamaica,Queens County,40.6757849,-73.8361627
3396,84th Avenue,Kew Gardens,Kew Gardens,Queens County,40.704719,-73.832559
3397,West 54th Street,,Manhattan,New York County,40.766298,-73.9881994
3398,Pitman Avenue,East Bronx,East Bronx,Bronx County,40.8974036,-73.8427908
3399,72nd Street,Bensonhurst,Bensonhurst,Kings County,40.6184843,-74.0001507
3400,East 72nd Street,,Manhattan,New York County,40.7699248,-73.9617134
3401,East 73rd Street,Bergen Beach,Bergen Beach,Kings County,40.6280068,-73.9155812
3402,Brighton 5th Street,Brighton Beach,Brighton Beach,Kings County,40.5789422,-73.9632143
3403,87th Street,Jackson Heights,Jackson Heights,Queens County,40.749416,-73.8796895
3404,Duane Street,,Manhattan,New York County,40.7168184,-74.0085588
3405,Riverdale Avenue,Kingsbridge,Kingsbridge,Bronx County,40.8838882,-73.908028
3406,East 88th Street,,Manhattan,New York County,40.7781672,-73.9489094
3407,East 127th Street,,Manhattan,New York County,40.8066101,-73.9390361
3408,Ocean Parkway,Kensington,Kensington,Kings County,40.6466766,-73.9740956
3409,Central Park West,,Manhattan,New York County,40.7703005,-73.9804715
3410,98th Street,Rego Park,Rego Park,Queens County,40.7346339,-73.8602384
3411,Brighton 4th Street,Brighton Beach,Brighton Beach,Kings County,40.577735,-73.9632478
3412,Union Turnpike,Kew Gardens Hills,Kew Gardens Hills,Queens County,40.7188694,-73.8111217
3413,153rd Avenue,Jamaica,Jamaica,Queens County,40.6659011,-73.854748
3414,West 22nd Street,,Manhattan,New York County,40.7440497,-73.9980389
3415,Fordham Hill Oval,Fordham Manor,Fordham Manor,Bronx County,40.8646563,-73.9082145
3416,68th Street,Bay Ridge,Bay Ridge,Kings County,40.6373585,-74.0272224
3417,Annadale Road,Arden Heights,Arden Heights,Richmond County,40.5493207,-74.1744217
3418,Commodore Drive,Prince's Bay,Prince's Bay,Richmond County,40.5148559,-74.2032529
3419,East 80th Street,,Manhattan,New York County,40.7747519,-73.9561067
3420,West 29th Street,,Manhattan,New York County,40.7468872,-73.9910651
3421,East 51st Street,East Flatbush,East Flatbush,Kings County,40.6485435,-73.9292272
3422,Riverside Drive,,Manhattan,New York County,40.7942107,-73.9761618
3423,35th Avenue,Flushing,Flushing,Queens County,40.7666016,-73.8157611
3424,Bartlett Avenue,Eltingville,Eltingville,Richmond County,40.5491914,-74.1660279
3425,Birdsall Avenue,Far Rockaway,Far Rockaway,Queens County,40.607379,-73.754678
3426,Ludlow Street,,Manhattan,New York County,40.7175362,-73.9899587
3427,Henry Hudson Parkway West,Riverdale,Riverdale,Bronx County,40.8924692,-73.9091145
3428,Tomlinson Avenue,Morris Park,Morris Park,Bronx County,40.8494439,-73.8515779
3429,52nd Street,Mapleton,Mapleton,Kings County,40.6260941,-73.9815074
3430,Avenue S,Gravesend,Gravesend,Kings County,40.602199,-73.9709488
3431,Northside Piers,Williamsburg,Williamsburg,Kings County,40.719753,-73.9642643
3432,East 82nd Street,,Manhattan,New York County,40.7777566,-73.9600565
3433,West 24 Street,,Manhattan,New York County,40.7439229,-73.9937052
3434,Bell Avenue,Edenwald,Edenwald,Bronx County,40.8928243,-73.8348075
3435,United Nations Plaza,,Manhattan,New York County,40.7526263,-73.9658766
3436,West 22nd Street,,Manhattan,New York County,40.7481933,-74.006941
3437,2nd Avenue,,Manhattan,New York County,40.7344156,-73.9836325
3438,Prospect Place,Ocean Hill,Ocean Hill,Kings County,40.6729629,-73.9207117
3439,Nelson Street,Carroll Gardens,Carroll Gardens,Kings County,40.6773575,-74.0013329
3440,Barker Avenue,East Bronx,East Bronx,Bronx County,40.8720291,-73.8695302
3441,37th Avenue,Flushing,Flushing,Queens County,40.7534193,-73.8628811
3442,West End Avenue,,Manhattan,New York County,40.7767637,-73.9843469
3443,Tilden Street,Williamsbridge,Williamsbridge,Bronx County,40.8770223,-73.8585612
3444,28th Avenue,,Brooklyn,Kings County,40.5895073,-73.9855167
3445,East 22nd Street,,Manhattan,New York County,40.7377082,-73.9819095
3446,Dominick Lane,Southeast Annadale,Southeast Annadale,Richmond County,40.5240723,-74.1710503
3447,,,Manhattan,New York County,40.736841,-73.99679
3448,82nd Street,Jackson Heights,Jackson Heights,Queens County,40.7505816,-73.8847602
3449,90th Avenue,Jamaica,Jamaica,Queens County,40.7048447,-73.8022389
3450,93rd Street,Fort Hamilton,Fort Hamilton,Kings County,40.6193875,-74.0353364
3451,Pelham Parkway North,Allerton,Allerton,Bronx County,40.8574263,-73.8708848
3452,41st Avenue,Flushing,Flushing,Queens County,40.7606023,-73.8222658
3453,East 54th Street,Flatlands,Flatlands,Kings County,40.6174718,-73.9231114
3454,105th Street,Richmond Hill,Richmond Hill,Queens County,40.696809,-73.842496
3455,Montgomery Street,Crown Heights,Crown Heights,Kings County,40.6657959,-73.9527658
3456,East 65th Street,,Manhattan,New York County,40.767256,-73.9682231
3457,East 56th Street,,Manhattan,New York County,40.7571111,-73.9630783
3458,Argyle Road,Flatbush,Flatbush,Kings County,40.6486309,-73.9674377
3459,Bay Club Drive,Bayside,Bayside,Queens County,40.7781488,-73.782075
3460,Appleby Avenue,Arrochar,Arrochar,Richmond County,40.5910792,-74.0801059
3461,Front Street,Dumbo,Dumbo,Kings County,40.7022611,-73.9854097
3462,Madison Avenue,,Manhattan,New York County,40.7847977,-73.9556597
3463,68th Street,Flushing,Flushing,Queens County,40.7435797,-73.8964717
3464,East 71st Street,,Manhattan,New York County,40.7693076,-73.9621998
3465,100th Avenue,Jamaica,Jamaica,Queens County,40.7099505,-73.7626558
3466,27th Street,Long Island City,Long Island City,Queens County,40.7491662,-73.9406038
3467,96th Street,Jamaica,Jamaica,Queens County,40.6609023,-73.8371049
3468,Haven Avenue,,Manhattan,New York County,40.8510315,-73.9416561
3469,Farrington Street,Flushing,Flushing,Queens County,40.767546,-73.8314686
3470,113th Street,Flushing,Flushing,Queens County,40.7172419,-73.8336819
3471,Sunnyside Terrace,Sunnyside,Sunnyside,Richmond County,40.6146934,-74.0996097
3472,230th Street,Jamaica,Jamaica,Queens County,40.656902,-73.7523889
3473,West 42nd Street,,Manhattan,New York County,40.7617008,-73.9996228
3474,65th Street,Flushing,Flushing,Queens County,40.7404458,-73.9008992
3475,Harding Park,Clason Point,Clason Point,Bronx County,40.8069155,-73.8562067
3476,Sunrise Court,College Point,College Point,Queens County,40.7952284,-73.8483228
3477,Avenue P,Gravesend,Gravesend,Kings County,40.6072346,-73.9847935
3478,East 36th Street,,Manhattan,New York County,40.7477728,-73.9794793
3479,Conover Street,Red Hook,Red Hook,Kings County,40.6774843,-74.0147997
3480,Orchard Street,,Manhattan,New York County,40.7155919,-73.9912903
3481,West 139th Street,,Manhattan,New York County,40.8162042,-73.9383242
3482,Leonard Street,,Manhattan,New York County,40.718295,-74.007645
3483,West 28th Street,,Manhattan,New York County,40.7509451,-74.0035855
3484,East 63rd Street,,Manhattan,New York County,40.7641145,-73.9651826
3485,Ada Drive,Mid Island,Mid Island,Richmond County,40.6210192,-74.1602713
3486,Franklin Street,Greenpoint,Greenpoint,Kings County,40.7295332,-73.957726
3487,Fordham Hill Oval,Fordham Manor,Fordham Manor,Bronx County,40.8643305,-73.9075188
3488,FDR Drive,,Manhattan,New York County,40.7129113,-73.9781415
3489,30th Avenue,Woodside,Woodside,Queens County,40.7593913,-73.9054195
3490,100th Avenue,Hollis,Hollis,Queens County,40.7108416,-73.7572751
3491,Newbold Avenue,East Bronx,East Bronx,Bronx County,40.8329348,-73.8535075
3492,59th Avenue,Corona,Corona,Queens County,40.7373584,-73.8574251
3493,Cedar Street,Bushwick,Bushwick,Kings County,40.6964448,-73.9283241
3494,50th Street,Sunset Park,Sunset Park,Kings County,40.6403284,-74.0028134
3495,West 195th Street,West Bronx,West Bronx,Bronx County,40.8704967,-73.9011805
3496,63rd Road,Forest Hills,Forest Hills,Queens County,40.7326518,-73.8546547
3497,East 52nd Street,,Manhattan,New York County,40.754143,-73.963502
3498,78th Street,Bay Ridge,Bay Ridge,Kings County,40.6278319,-74.024872
3499,College Point Boulevard,Flushing,Flushing,Queens County,40.7523131,-73.8324302
3500,37th Avenue,Flushing,Flushing,Queens County,40.7627502,-73.8267096
3501,Grove Street,Bushwick,Bushwick,Kings County,40.694352,-73.919978
3502,East 76th Street,,Manhattan,New York County,40.774136,-73.96342
3503,East 90th Street,,Manhattan,New York County,40.7821142,-73.9544199
3504,West End Avenue,,Manhattan,New York County,40.7795544,-73.9848893
3505,West 136th Street,,Manhattan,New York County,40.8211783,-73.956073
3506,West End Avenue,,Manhattan,New York County,40.7933309,-73.9749909
3507,Furman Street,Brooklyn Heights,Brooklyn Heights,Kings County,40.7015519,-73.995867
3508,West 53rd Street,,Manhattan,New York County,40.7613258,-73.9774014
3509,East 75th Street,,Manhattan,New York County,40.7719074,-73.9601359
3510,211th Street,Flushing,Flushing,Queens County,40.7736469,-73.777944
3511,69th Avenue,Forest Hills,Forest Hills,Queens County,40.7249599,-73.84549
3512,East 169th Street,Morrisania,Morrisania,Bronx County,40.8310613,-73.8998364
3513,West 26th Street,,Manhattan,New York County,40.7451522,-73.9927778
3514,Convent Avenue,,Manhattan,New York County,40.8274367,-73.9438954
3515,Beach 116th Street,Rockaway Park,Rockaway Park,Queens County,40.5783596,-73.8365039
3516,Putnam Avenue,Bedford-Stuyvesant,Bedford-Stuyvesant,Kings County,40.685976,-73.9349974
3517,Brighton 7th Street,Brighton Beach,Brighton Beach,Kings County,40.5791234,-73.9613152
3518,1st Avenue,,Manhattan,New York County,40.7593483,-73.9617192
3519,Linden Boulevard,Jamaica,Jamaica,Queens County,40.6942163,-73.7530902
3520,Front Road,Arverne,Arverne,Queens County,40.5883964,-73.7934995
3521,Monroe Place,Manor Heights,Manor Heights,Richmond County,40.5995725,-74.1264046
3522,Clermont Avenue,Fort Greene,Fort Greene,Kings County,40.6923306,-73.9709219
3523,East 116th Street,,Manhattan,New York County,40.7956068,-73.9338581
3524,East 32nd Street,Flatlands,Flatlands,Kings County,40.6284586,-73.9450168
3525,Turneur Avenue,East Bronx,East Bronx,Bronx County,40.8151628,-73.8462531
3526,Carpenter Avenue,East Bronx,East Bronx,Bronx County,40.8959505,-73.859572
3527,Broadway,,Manhattan,New York County,40.7716812,-73.9815796
3528,67th Street,Bensonhurst,Bensonhurst,Kings County,40.6165009,-73.9885469
3529,East 72nd Street,,Manhattan,New York County,40.7680852,-73.9572619
3530,Gleason Avenue,East Bronx,East Bronx,Bronx County,40.8315252,-73.8525427
3531,39th Road,Flushing,Flushing,Queens County,40.7742555,-73.7407295
3532,East 78th Street,,Manhattan,New York County,40.775154,-73.962097
3533,Broadway,Southside,Southside,Kings County,40.7102929,-73.9660133
3534,Hill Avenue,Edenwald,Edenwald,Bronx County,40.8902197,-73.8385449
3535,,,Manhattan,New York County,40.7478025,-73.9811899
3536,6th Avenue,,Manhattan,New York County,40.7271763,-74.0030659
3537,14th Street,Long Island City,Long Island City,Queens County,40.7640468,-73.934811
3538,West 163rd Street,Highbridge,Highbridge,Bronx County,40.8322942,-73.9291697
3539,82nd Street,Bay Ridge,Bay Ridge,Kings County,40.6249039,-74.0253417
3540,Sapphire Street,Jamaica,Jamaica,Queens County,40.6642913,-73.8554975
3541,Ridge Boulevard,Bay Ridge,Bay Ridge,Kings County,40.6339001,-74.0299973
3542,Surf Avenue,Coney Island,Coney Island,Kings County,40.5754825,-73.9747644
3543,Purdy Place,Prince's Bay,Prince's Bay,Richmond County,40.5132319,-74.1952211
3544,Ditmars Boulevard,East Elmhurst,East Elmhurst,Queens County,40.7689132,-73.8929233
3545,,,Manhattan,New York County,40.7731562,-73.9781993
3546,43rd Street,Sunset Park,Sunset Park,Kings County,40.6527672,-74.0120752
3547,141st Street,Jamaica,Jamaica,Queens County,40.6763934,-73.7998105
3548,Alderton Street,Flushing,Flushing,Queens County,40.7183478,-73.858704
3549,Avenue O,Midwood,Midwood,Kings County,40.614409,-73.9479665
3550,Bainbridge Avenue,Fordham Manor,Fordham Manor,Bronx County,40.8655935,-73.8916669
3551,Monroe Street,Bedford-Stuyvesant,Bedford-Stuyvesant,Kings County,40.6857744,-73.9493686
3552,Benson Avenue,,Brooklyn,Kings County,40.5989402,-73.9939759
3553,East 18th Street,Sheepshead Bay,Sheepshead Bay,Kings County,40.5869733,-73.9514755
3554,43rd Street,Sunset Park,Sunset Park,Kings County,40.6442712,-73.9986359
3555,West 18th Street,,Manhattan,New York County,40.7422513,-74.0010561
3556,West End Avenue,,Manhattan,New York County,40.779515,-73.9844714
3557,East 105th Street,,Manhattan,New York County,40.7911493,-73.9463028
3558,East 17th Street,Flatbush,Flatbush,Kings County,40.6311681,-73.9610093
3559,South End Avenue,,Manhattan,New York County,40.7082816,-74.0180413
3560,192nd Street,Flushing,Flushing,Queens County,40.7561033,-73.7889919
3561,East 46th Street,East Flatbush,East Flatbush,Kings County,40.6382091,-73.9325492
3562,Lorrain Avenue,Arden Heights,Arden Heights,Richmond County,40.541476,-74.174618
3563,,,Manhattan,New York County,40.7617181,-73.969764
3564,Princeton Lane,Village greens,Village greens,Richmond County,40.5533858,-74.1974018
3565,West 21st Street,,Manhattan,New York County,40.7443407,-74.0016248
3566,Bedford Avenue,Bedford-Stuyvesant,Bedford-Stuyvesant,Kings County,40.6813996,-73.9537521
3567,Lefferts Place,Bedford-Stuyvesant,Bedford-Stuyvesant,Kings County,40.6802147,-73.9567445
3568,Broadway,,Manhattan,New York County,40.8025988,-73.9673459
3569,Greene Avenue,Flushing,Flushing,Queens County,40.7110433,-73.9060792
3570,38th Avenue,Flushing,Flushing,Queens County,40.7535493,-73.8547131
3571,Park Avenue,,Manhattan,New York County,40.7733572,-73.961686
3572,Colden Street,Flushing,Flushing,Queens County,40.7533266,-73.8265256
3573,55th Avenue,Elmhurst,Elmhurst,Queens County,40.7365072,-73.8733466
3574,East 68th Street,,Manhattan,New York County,40.7670912,-73.9616292
3575,Bond Street,,Manhattan,New York County,40.7265745,-73.9945558
3576,Vanderbilt Avenue,Clinton Hill,Clinton Hill,Kings County,40.6912637,-73.9696573
3577,25th Road,Flushing,Flushing,Queens County,40.7756728,-73.827111
3578,Alden Park,East Bronx,East Bronx,Bronx County,40.8223617,-73.8072499
3579,Sheridan Avenue,Cypress Hills,Cypress Hills,Kings County,40.6817405,-73.8676128
3580,McVeigh Avenue,New Springville,New Springville,Richmond County,40.588988,-74.1530581
3581,West 57th Street,,Manhattan,New York County,40.7656355,-73.9795713
3582,Booth Street,Flushing,Flushing,Queens County,40.7275115,-73.86069
3583,Willoughby Avenue,Bedford-Stuyvesant,Bedford-Stuyvesant,Kings County,40.6957069,-73.9344472
3584,4th Avenue,,Manhattan,New York County,40.7324146,-73.9898491
3585,East 19th Street,Sheepshead Bay,Sheepshead Bay,Kings County,40.5895139,-73.9497416
3586,Linden Boulevard,Jamaica,Jamaica,Queens County,40.6793288,-73.8192101
3587,35th Street,Astoria,Astoria,Queens County,40.7763731,-73.9073075
3588,West 246th Street,Hudson Hill,Hudson Hill,Bronx County,40.892224,-73.9127628
3589,East 18th Street,,Manhattan,New York County,40.7379419,-73.9907264
3590,Alter Avenue,Dongan Hills,Dongan Hills,Richmond County,40.5922552,-74.0972237
3591,East 37th Street,,Manhattan,New York County,40.7463283,-73.972718
3592,Flatlands Avenue,East New York,East New York,Kings County,40.6543591,-73.8837899
3593,West 54th Street,,Manhattan,New York County,40.7640805,-73.9818551
3594,Anthony Avenue,West Bronx,West Bronx,Bronx County,40.8451935,-73.9036716
